Folder,Video,pixel_surface,color,shape,frequency,pp1,pp2,pp3,pp4,pp5,pp6
Experiment_2,2x2_pixel_surface_20000_color_mode_green_frequency_8_shape_squares_coordinate_(1440_270).mp4,20000,green,squares,8,[1.21948958 1.8025505  1.50696907],[2.51555714 5.79896964 4.02305642],[4.30755009 0.61517123 3.91468165],[2.26583014 2.92419155 1.37866559],[6.01122837 1.2488636  1.19060256],[2.80507514 1.43571891 0.96128935]
Experiment_2,2x2_pixel_surface_10000_color_mode_green_frequency_13_shape_squares_coordinate_(1440_810).mp4,10000,green,squares,13,[0.37607456 2.71610965 4.14947172],[1.00903955 5.88704184 1.83616335],[0.58313953 0.06427016 4.88067004],[7.12478137 2.13504655 3.58294059],[1.45740167 1.28954939 5.72941448],[0.74891083 0.83780838 2.43180872]
Experiment_2,2x2_pixel_surface_10000_color_mode_green_frequency_8_shape_squares_coordinate_(480_810).mp4,10000,green,squares,8,[1.38815623 0.93512006 0.69588312],[17.0578678   4.37351024  5.42862934],[ 1.86774918 10.027475    0.41048176],[3.58137174 3.80726616 0.92373245],[0.43793798 0.82749893 3.64726547],[0.40838661 1.37267761 0.66855111]
Experiment_2,2x2_pixel_surface_20000_color_mode_white_frequency_8_shape_squares_coordinate_(1440_810).mp4,20000,white,squares,8,[1.2926228  6.20572809 4.72883597],[5.10430054 1.86282914 2.86341414],[1.77484047 0.810613   2.30031334],[2.86161947 1.51905041 0.3953986 ],[0.50069589 0.50408339 6.53343734],[1.29090565 0.91895048 0.79503082]
Experiment_2,2x2_pixel_surface_10000_color_mode_red_frequency_25_shape_squares_coordinate_(480_810).mp4,10000,red,squares,25,[2.66822056 8.02718781 2.83811264],[0.39617422 3.99884004 1.08677079],[1.24332264 5.1031793  3.04958416],[7.5651649  3.73725612 1.55906452],[0.80349338 1.4419574  0.40007499],[ 1.4457337  10.30286733  0.94494226]
Experiment_2,2x2_pixel_surface_30000_color_mode_green_frequency_13_shape_squares_coordinate_(1440_810).mp4,30000,green,squares,13,[3.61368957 0.51136087 1.14891875],[0.61386089 2.04049345 0.56231846],[2.93533838 1.0856432  0.78806015],[10.41375721  1.43297359  1.81799748],[1.82354032 1.18263803 3.55889205],[2.28369543 4.22968817 1.50653843]
Experiment_2,2x2_pixel_surface_30000_color_mode_white_frequency_13_shape_squares_coordinate_(480_810).mp4,30000,white,squares,13,[0.37746714 5.94147458 4.09034775],[1.46924912 1.77007409 3.67157112],[4.39442769 1.86842722 0.61566602],[6.88596424 0.99263733 2.83033699],[3.9756907  1.88677097 2.63832919],[5.42725664 0.75511604 3.40053208]
Experiment_2,2x2_pixel_surface_10000_color_mode_red_frequency_8_shape_squares_coordinate_(1440_270).mp4,10000,red,squares,8,[ 3.40780128 12.17729105  0.62106946],[3.56901643 2.25049803 4.38657822],[ 0.30353735  0.42549576 12.59466226],[11.7432039   8.84327543  6.77683095],[2.52812965 0.61685918 0.33446594],[0.96569657 2.56153506 1.37537739]
Experiment_2,2x2_pixel_surface_10000_color_mode_red_frequency_25_shape_squares_coordinate_(480_270).mp4,10000,red,squares,25,[3.18837024 1.33283656 3.73079255],[0.73100947 2.90020612 0.6634762 ],[1.42562886 1.31205193 5.97814971],[1.64941666 2.95729939 1.61115951],[4.95191302 1.08782737 1.40326626],[1.49299888 4.05916579 1.18109892]
Experiment_2,2x2_pixel_surface_10000_color_mode_red_frequency_25_shape_squares_coordinate_(1440_810).mp4,10000,red,squares,25,[2.98820569 1.46062774 4.33615117],[0.92066751 1.78962592 1.69363796],[0.54783847 1.12281611 5.31709768],[ 8.19027843  1.55664815 13.45259013],[0.34973849 0.84483808 1.58986321],[1.75895154 0.9923282  0.2230554 ]
Experiment_2,2x2_pixel_surface_20000_color_mode_green_frequency_8_shape_squares_coordinate_(480_270).mp4,20000,green,squares,8,[1.88694144 1.58570183 3.76683347],[10.75657757  6.68588204 24.22027086],[0.84751904 5.87592503 2.18754451],[3.78263409 2.05850151 1.39849694],[1.5390638  1.16634282 1.06471371],[3.85764243 0.87342018 0.24550166]
Experiment_2,2x2_pixel_surface_10000_color_mode_green_frequency_25_shape_squares_coordinate_(480_270).mp4,10000,green,squares,25,[1.88607931 3.07623945 9.37674398],[3.09936221 1.3851159  1.53781881],[4.67644153 2.65498047 1.25141776],[1.69529016 4.80424689 1.75922842],[ 3.83237264  9.07111777 48.72778001],[0.78879551 1.36568795 6.27075634]
Experiment_2,2x2_pixel_surface_10000_color_mode_green_frequency_25_shape_squares_coordinate_(1440_270).mp4,10000,green,squares,25,[0.48487641 1.40292921 0.52171357],[2.26717915 2.37350198 0.82633874],[2.41249864 3.2928763  5.15692002],[1.39048108 2.56144278 2.41958026],[ 9.95036054 14.49447609 14.59195731],[1.3375205  1.72550014 4.0044994 ]
Experiment_2,2x2_pixel_surface_20000_color_mode_red_frequency_13_shape_squares_coordinate_(1440_270).mp4,20000,red,squares,13,[2.58249099 1.84816683 2.90971664],[1.32493974 1.54682831 2.86354081],[3.86891033 1.74511728 0.9153888 ],[8.92936444 3.95332525 1.95413625],[3.61183616 3.79116626 2.33909905],[2.80585947 1.89558888 3.41651799]
Experiment_2,2x2_pixel_surface_30000_color_mode_green_frequency_19_shape_squares_coordinate_(1440_270).mp4,30000,green,squares,19,[1.51317159 4.98885641 2.5569961 ],[1.71616024 3.68962049 1.98230854],[0.69911285 0.32112769 1.179744  ],[1.44032332 2.70401381 0.91829413],[1.67545273 1.21531035 2.47820888],[2.11101282 6.63747587 1.64857145]
Experiment_2,2x2_pixel_surface_30000_color_mode_red_frequency_13_shape_squares_coordinate_(1440_270).mp4,30000,red,squares,13,[1.72797123 1.59817631 1.5464378 ],[ 9.92705562 11.63309826  1.14819316],[1.07380979 6.06337414 1.68355807],[19.51066645 23.05257333  8.78674092],[2.57056274 3.7154885  5.19125588],[4.28714166 0.53632365 1.03072697]
Experiment_2,2x2_pixel_surface_10000_color_mode_red_frequency_13_shape_squares_coordinate_(1440_270).mp4,10000,red,squares,13,[1.92660419 4.88386761 1.66574225],[2.17097954 1.50464353 1.04504919],[0.36417169 2.74217646 3.68927289],[1.98498582 2.19725292 7.14984034],[2.68683434 3.47995275 3.28434038],[3.33240315 8.25496618 0.21007901]
Experiment_2,2x2_pixel_surface_30000_color_mode_green_frequency_13_shape_squares_coordinate_(480_270).mp4,30000,green,squares,13,[1.53164449 2.68101813 1.58374548],[2.5209347  0.38892226 2.56707726],[1.61139658 0.96326396 1.00826145],[1.03021655 2.65700626 0.49824495],[9.59055443 0.78715548 5.41667443],[3.00650196 4.0687214  0.42543706]
Experiment_2,2x2_pixel_surface_20000_color_mode_white_frequency_25_shape_squares_coordinate_(480_270).mp4,20000,white,squares,25,[6.00984316 4.96026791 1.78697235],[11.63702346  5.84160096  6.44922163],[1.89268053 5.99468084 4.71653584],[3.37767937 1.30962366 1.73321208],[17.77522616 22.3618213   7.54214704],[4.8135545  2.15568483 0.32776219]
Experiment_2,2x2_pixel_surface_10000_color_mode_white_frequency_8_shape_squares_coordinate_(480_270).mp4,10000,white,squares,8,[5.60904505 2.12292955 3.9031256 ],[0.60809052 3.05302092 6.91730869],[7.58657823 1.34973863 2.40099008],[2.455425   3.85959907 1.25401954],[2.05308509 2.35082527 2.7815226 ],[1.21953066 5.13134958 1.05102159]
Experiment_2,2x2_pixel_surface_20000_color_mode_red_frequency_8_shape_squares_coordinate_(480_810).mp4,20000,red,squares,8,[1.3219554  3.08310815 2.85919615],[1.75640344 5.00935373 7.98414007],[1.53999802 0.64105366 1.472388  ],[25.53603423  4.4543042   1.01742636],[1.25291156 0.23334632 0.31635808],[6.44459612 1.08664462 1.11020929]
Experiment_2,2x2_pixel_surface_20000_color_mode_white_frequency_8_shape_squares_coordinate_(480_810).mp4,20000,white,squares,8,[10.28344288  2.94198227 12.18932698],[1.02398561 0.88440517 6.99155734],[0.5676315  0.37688969 1.47253121],[3.44334298 8.58305467 4.63894761],[1.17911405 2.34875647 2.52264841],[2.83851612 2.77319857 2.75634846]
Experiment_2,2x2_pixel_surface_20000_color_mode_green_frequency_13_shape_squares_coordinate_(480_270).mp4,20000,green,squares,13,[5.32960453 0.54428381 1.90518386],[0.66122651 6.21878203 0.17348226],[1.63486815 2.24157989 2.20691232],[3.7538499  0.40919819 1.56434027],[2.02767421 2.17953371 1.9276938 ],[9.78341628 0.72736978 1.21559263]
Experiment_2,2x2_pixel_surface_10000_color_mode_red_frequency_13_shape_squares_coordinate_(480_270).mp4,10000,red,squares,13,[3.72539803 3.82629829 0.42981538],[0.41124702 0.7659104  1.643412  ],[0.58975522 2.51983285 0.86710056],[2.01309144 4.06276574 1.09681314],[3.14336828 1.77055466 2.90177151],[1.36371786 7.17801636 7.37637094]
